artistname,streams
"Tony Dize, Bad Bunny",479655659
"Feid, Mora",477033549
"Michael Bublï¿",476244795
"Frank Sinatra, B. Swanson Quartet",473248298
"Brray, Rauw Alejandro, Lyanno",471819764
Labrinth,467727006
"TV Girl",466231982
Adele,466214729
"Rauw Alejandro",465959382
"Natanael Cano, Gabito Ballesteros, Peso Pluma",463564958
"James Hype, Miggy Dela Rosa",462791599
"Bad Bunny",461558540
"Tyler, The Creator",461437791
"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",460492795
Feid,459276435
"Lil Uzi Vert",457184829
"Zach Bryan",449701773
Kordhell,448843705
"Doja Cat",448500832
"Dean Martin",446390129
"Childish Gambino",445590495
"Chris Brown, Rvssian, Rauw Alejandro",436695353
"Natanael Cano, Peso Pluma",436027885
"Taylor Swift",433356509
"The Weeknd",432702334
NewJeans,430977451
"Morgan Wallen",429829812
"Chris Rea",429504768
"Nicki Minaj",428685680
"Charli XCX, Jax Jones, Joel Corry, Saweetie",427486004
"Labrinth, Zendaya",426204830
"Prezioso, Gabry Ponte, LUM!X",422691058
"Danny Ocean",421365166
"The Rare Occasions",421135627
"NEIKED, Mae Muller, Polo G",421040617
"Bad Bunny",417230415
"Tory Lanez",415932686
"Billie Eilish",412795151
"New West",411747614
"Troye Sivan",408843328
"Hotel Ugly",405136812
"Grupo Frontera",404887295
"The Ronettes",404664135
"Taylor Swift",404562836
"Paul McCartney",403939487
"Bad Bunny",403231558
"Fujii Kaze",403097450
"Future, Chris Brown, Metro Boomin",401036314
SZA,399686758
NewJeans,397582059
"Burl Ives",395591396
"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",395591396
"Ryan Castro",394030335
"Justin Quiles, Lenny Tavï¿½ï¿½rez, BL",393230256
"The Weeknd",391251368
"Nat King Cole",389771964
Ghost,387080183
"BYOR, Imanbek",383835984
"Bruno Mars, Anderson .Paak, Silk Sonic",383550148
"Benson Boone",382199619
Quevedo,381161027
"Ozuna, Shakira",380726517
"PnB Rock",380319238
"Kanye West",376333030
"The Weeknd, ROSALï¿½",374706940
"Bizarrap, Tiago pzk",374191487
Libianca,373199958
"Lady Gaga",372476382
Vundabar,370068639
"Morgan Wallen",367814306
"Fuerza Regida, Grupo Frontera",367316268
"Pritam, Arijit Singh, Amitabh Bhattacharya",366599607
"Harry Styles",366214458
